english_sentences,hinglish_sentences
"Well to be honest, Batman has Superman beat and just before he can kill Superman, Superman utters ""save martha"" to which Lane enterenters and explains Martha is his mother. Batman rescues Martha while Superman confronts Luther on the scout ship. At this point, Wonder Woman hasn't debuted yet ","Well to be honest, Batman Superman ko hara deta hai aur jaise hi wo Superman ko maarne wala rahta hai, Superman bolta hai ""save martha"" to Lane andar aati hai aur explain karti hai k Martha uski maa hai. Batman Martha ko rescue karta hai aur Superman scout ship pe Luthor ko confront karta hai. Is point pe Wonder Woman ab tak debut nahi ki hai"
"Dang! Crazy that Batman has Superman beat! Isn't Batman just a millionaire with a lot of fancy gadgets? Superman at least has real super powers. You would think that would give him a one-up. Did Batman have kryptonite
 or something?",Dang! Crazy Batman superman ko hara deta hai. Kya wo bas ek millionaire nahi juske pas bhut fancy gadget hai. Superman k paas at least real super powers hai. Koi bhi sochega k wo superman jeetega. Kya Batman k paas kryptonite ya kuch tha?
"I do very much agree with you! It is puzzling but Batman has a spear he plans to kill superman with just before he utters the ""Save Martha"" line, halting Batman from killing him.","main aapase bahut sahamat hoon! yah hairaan karane vaala hai, lekin baitamain ke paas ek bhaala hai, jisase vah suparamain ko maarane kee yojana banaata hai, isase pahale ki vah ""sev maartha"" lain ka upayog karata hai, baitamain ko maarane se rok deta hai."
Do the join forces after that?,kya usake baad sena mein shaamil hote hain?
they*,वे*
They do thankfully - Batman actually saves Martha while Superman travels to the scout ship to Confront Luther.,"ve shukr manaate hain - baitamain vaastav mein maartha ko bachaata hai, jabaki suparamain ka saamana loothar ke saath skaut jahaaj tak jaata hai."
Does he kill Luther? ,kya vah ko Luther maarata hai?
"Luther was also the one who kidnapped Martha. He doesn't kill Luther but Luther is arrested to which Batman confronts him while he's in prison, warning that he'll always be watching.","Luther bhee vahee tha jisane maartha ka apaharan kiya tha. vah loothar ko nahin maarata hai, lekin loothar ko giraphtaar kar liya jaata hai, jisamen baitamain ne jel mein rahane ke dauraan usaka saamana kiya, chetaavanee dee ki vah hamesha dekhata rahega"
So basically leaving an opening for another movie in the franchise?,to mool roop se phrainchaizee mein ek aur philm ke lie ek opaning chhod raha hoon?
"I've heard debates on Superman's and Batman's outfits in this movie. Some say that they are awesome and some say that they are ridiculous and too different form their b
eloved originals. What are your thoughts on this?",mainne is philm mein suparamain aur baitamain ke aautaphit par bahas sunee hai. kuchh ka kahana hai ki ve kamaal ke hain aur kuchh kahate hain ki ve haasyaaspad hain aur bahut alag roop mein unake b ailovaid mool hain. is par aapake vichaar kya hain?
"They do... Sadly, Superman dies, however, Bruce Wayne intends to form a team of Metahumans, starting with the Metahumans he found in Luthor's files to protect the world in Sueprmans absence. ","ve karate hain ... aphasos kee baat hai ki, suparamain kee mrtyu ho jaatee hai, haalaanki, broos ven ne metaahumans kee ek teem banaane ka iraada kiya, metahumans ke saath shuroo karate hue unhonne lyoopor kee phailon mein sooparamain kee anupasthiti mein duniya kee raksha karane ke lie paaya"
"While it did seem like 153 minutes of a grown man whacking two dolls together, I still found it better than Man of Steel.","jabaki yah aisa lagata tha jaise ek bade aadamee ka do minat mein ek saath do gudiyon ko pakadana, mujhe abhee bhee main oph steel se behatar laga."
"Wait, Superman dies? How??","rukoo, superman maar gaya ? keise??"
"Well to be honest, at the end of the film, the dirt atop Sueprman's coffin does begin to levitate! I think we're at the finish line! I enjoyed chatting with you about Batman vs Superman! I highly recommend you seeing it one day. If you agree with CinemaScore, they rated it a B so I think you'll enjoy it and encourage you to watch it! Take care and have a great day!",bahut Imandaari se film ke aakhir mei  dirt superman kocoffin mei rakh deta hai ! socho ki ham aakhari line mei hai! hamare saath batman or superman ke bare mei baat karne ko maja le. mei aapko ek din isko dekhane ki salah deta hu.  yadi aap sahmat hai to filma ka score B hai mere khayal de aap pasand karoge  aap apna khayal rakhe or aapka din achcha ho!
hi,hi
Hello!,Hello!
how are u ?,aap kaise ho
"good, you?","ache hoon, aap?"
im ok ,mein bhi
have you seen this movie?,kya aap is movie ko dekha?
so have u watched ..,tho aap dekha?
nope,nahi
but i do like angelina jolie,lekin muje angelina jolie pasand hein
"i havent either, but i love the story of sleeping beauty",mein nahi dekha lekin muje sleeping beauty ka story bahut pasand hein
me too,muje bhi
iy has 51 in rotten tomatoes,rotten tomatoes ne 51 de
so hmm,hmm
not that good,utni badiya nhi
5.7 out of 10. yikes,10 mein se 5.7. Vahiyaat
i know,Mujhe pta hai
so this movie is more about the villan,Toh yeh movie zyadaya villan ke baare mein hai
is a dark fantasy film,yeh ek dark fantasy film hai
yes,han
wow,waah
so she was originally a fairy,to wo asal mein mein ek fairy thi
yes,han
i cant believe its been so long since this movie came out,mujhe vishwaas nhi hota ki iss movie ko aaye itna lamba samay ho gya
she fells in love with a human it says,it says ki wo ek human ke pyar me pad gai
i know,I know
right,right
and then her wings are cut off,and then uske wings kaat diye gaye
i think i only heard about this movie once,I think maine is movie ke baare me sirf ek baar suna hai
oh wow,oh wow
ah man phillips kiss doesnt work,ah man phillips ka kiss kaam nahi karta
and her lover betrayed her,aur uska lover use betray karta hai
stefan is auroras father,stefan aurora ka father hai
and maleficent loves him,aur maleficent use pyar karti hai
yea,haan
i feel bad for her now,muje bura laga uske liye
oh boy,oh shaana
she sends stefan to his death,voh tho stefan ko mouth ke muh me daal diya
yeah i feel bad too,haan muje bhi bura laga
"i know its different, but i like the old fashioned sleeping beauty too much",mein samaj sakthe hoon ki yeh different hein lekin muje old fashioned sleeping beauty ko hi pasand hein
i dont like how they changed it around,muje tho uska aisa change hona bilkul pasand nahi hein
yea,haan
"
they changed it for it to only get a 5.1 rating",isse changed ke liye 5.1 rating deya hein
this film wanted to break the stereotype,is film tho stereotype ko break kar liya
but it was too much,lekin yeh tho kuch jyada hein yar
righy,right
right,right
they fixed it when it wasnt broken,voh fix kar sakthe the lekin voh broken hi nahi tha
yea,yea
it was too much,yeh kuch jyada hi hey
and i havent heard about that director,aur mein iska director ke baare mein bhi kuch suna nahi haei
i wonder if this is the first movie he made,muje lagtha ki yeh uska first movie hei
he actually sounds familiar,haan kuch familiar sounds karta
it probably takes a lot to direct a movie like this,probably kuch samay lagega is tarah ka movies ko direct karna
i think u are right,i think tum sahi ho
but its metacritic score was 56/100. ow,par uska metacritic score 56/100 tha.
really low,bahut kam
from what i hear angelina jolie performed really well in it,"jahaan se meine suna hai, angelina jolie ne bahut achcha perform kiya hain usme."
well i love her,well mujhe pyaar karta hoon usse
im a girl,main ek ladki hoon
not like that,aise hi nahin
lol,lol
haha,haha
she is a good actress,wo ek achchi actress hai
i think she is a great person and actres,mujhe lagta hai wo great person aur actress hai
there is a scene where aurora is a little girl and she goes up to maleficent,ek scene hai jisme aurora choti ladki hai aur wo maleficent ke paas jati hai
and they had to use Angelinas daughter,aur unhe Angelina ki daughter use karni padi.
oh really ???,oh sach mein???
because her daughter was the only one who wouldnt get scared and run away lol,kyunki uski daughter akeli thi jo scare hokar bhaagti nahi
so i like that,han mujhe ye acha laga
yea,han
but the critical responses,par critical responses
"it is interesting that, like frozen, a prince was not needed for the true love scenario","ye interesting hai ki, frozen ki tarah, true love scenario    ke liye prince ki zarurat nahi thi"
it was like a mother daughter love,ye ek mother daughter love ki tarah tha
and i love that,or mujhe wo pasand hai
which i really like,Jo mujhe sach mein pasand hai
i hate that u need a prince all the time,mujhe ye bahut bura lag rha hai ki tumhe har samay ek prince chahiye
"to make "" everything  better ""","""sab kuch achha"" banane ke liye"
me too,Main bhi
it seems like a very entertaining movie,yeh bahut hi entertaining movie leg rhi hai
and i will have to watch it,aur mujhe isse dekhna hi hoga
i might give it a chance this weekend ,Maine isse iss weekend pe mauka de skta huin
me too,Main bhi
but i dont my 2 year old would stand still,lekin main nhi mera 2 year old sidha khada reh sakta hai
What is your opinion on the movie Jaws? ,philm joz par aapakee kya raay hai?
"To be honest, I find shark movies to be terrifying.","sach kahoon, to mujhe shaark philmen bhayaanak lagatee hain."
I can't say I blame you. The movie definitely makes that fear worse! ,main yah nahin kah sakata ki main tumhen dosh deta hoon. philm nishchit roop se us dar ko badatar bana detee hai!
Did you know that this film was based on a book?,Kya tumhe pata hai ki ye film ek book par based hai.
"No, I didn't. Not surprised though. Most movies tend to be. ","Nahi , maine nahi. Lekin mein surprise nahi hun zyadatar movies mein aisa hi hota hai."
I do love the Jaws music though. ,Lekin Jaws ka music mujhe pasand hai.
"Agreed, it heightens the tension and makes it scarier, but that's kind of the point.","Agreed, ye tension ko badhata hai aur isko aur daravana banata hai, lekin shayad uska wahi point hai."
"Are you surprised at how high the rating is for the film's critic score? And if I heard the music while driving, I would think someone was coming to take me out. Haha",Kya aap surprised hain ki is film ki critic score rating itni high hai ? Aur agar mein iska music driving karte samay sunoon to mujhe lagega ki koi mujhe maarne aa raha hai. Haha
"97% is incredibly high, I would have thought that there would be at least some people throwing low scores in there somewhere.","97% bahut zyada high hai , mujhe laga ki kam se kam kuch log to low scores denge."
"Do you agree that it's a ""cheerfully perverse"" scare movie?","Kya aap sehmat hai ki ye ""cheerfully perverse"" daravani movie hai ?"
"That's what I thought as well. Maybe it's because it was never done before in it's time and was so different when it came out? It might be easier to ""give it a pass"" 

And I would say it could be ""cheerfully perverse"" depending on the kind of movies you enjoy. ","Mujhe bhi aisa hi lagta hai. Shayad isliye kyunki us zamane mein aisa pehle nahi hua tha aur jo nikal ke aaya wo kafi alag tha ? Usko """"give it a pass"" dena easier hoga aur mein kahunga ki ye ""cheerfully perverse"" depending on aap kaisi movies pasand karte hain."
"Do you think that it ""is too gruesome for children""? ","Kya aapko lagta hai ki it ""is too gruesome for children""?"
"For small children, yes. I could see them having nightmares.","Chhote bacchon ke liye haan, unko nightmares aa sakte hain."
"I definitely agree with that. I do find it odd that it is considered a ""Thriller"" film. ","main definitely isase agree karta hoon. Mujhe yah ajeeb lagata hai ki ise ek ""Thriller"" film maana jaata hai."
I think it's interesting that in the key scenes it describes the economic impact on a beach town of the shark attacks. Makes you wonder if they'd cover something like that up to make more money in real life.,mujhe lagata hai ki yah interesting hai ki key scenes mein yah  shark attacks ke ek beach town pareconomic impact ka baare main batata hai. Aapako aashchary hota hai ki kya ve real life mein adhik paisa banaane ke lie aisa kuchh cover karenge.
"In today's society, I think that would absolutely be the case. Even if there was a bounty hunter hired, they would probably go, ""Nothing to see here, have fun!"" ","aaj ke society mein, mujhe lagata hai ki aisa hee hoga. yahaan tak ​​ki agar ek bounty hunter ko kaam par rakha gaya tha, to ve shaayad bolengain, ""yahaan dekhane ke lie kuchh bhee nahin hai, maze karo!"""
"I find it interesting that they put it in a fictional ""New England resort town"". You would think they would've picked somewhere in California since there's so many beaches and how huge it is. ","mujhe yah interesting lagata hai ki unhonne ise fictional  ""New England resort town"" mein rakha tha. Aapako lagata hai ki ve Californiamein kaheen aur le gae hote kyonki vahaan bahut saare beaches hain aur yah kitana vishaal hai."
